Time,Temperature
-2,33
-1.5,33
-1,33
-0.5,33
0,35
0.5,45
1,45
1.5,45
2,46
2.5,46
3,46
3.5,46
4,46
4.5,46
5,46
5.5,46
6,46
6.5,46
7,47
7.5,46
8,46
8.5,47
9,47
9.5,47
10,47
10.5,47
11,47
11.5,47
12,47
12.5,47
13,47
13.5,47
14,47
14.5,48
15,47
15.5,48
16,48
16.5,48
17,48
17.5,47
18,48
18.5,48
19,48
19.5,48
20,48
20.5,48
21,48
21.5,48
22,48
22.5,48
23,48
23.5,48
24,48
24.5,48
25,48
25.5,48
26,48
26.5,48
27,49
27.5,49
28,49
28.5,49
29,49
29.5,49
30,49
30.5,49
31,49
31.5,49
32,49
32.5,49
33,49
33.5,49
34,49
34.5,49
35,49
35.5,49
36,49
36.5,49
37,49
37.5,50
38,49
38.5,50
39,50
39.5,50
40,50
40.5,50
41,50
41.5,50
42,50
42.5,50
43,50
43.5,50
44,50
44.5,50
45,50
45.5,50
46,50
46.5,50
47,50
47.5,50
48,50
48.5,50
49,50
49.5,50
50,50
50.5,51
51,51
51.5,50
52,51
52.5,51
53,51
53.5,51
54,51
54.5,51
55,51
55.5,51
56,51
56.5,51
57,51
57.5,51
58,51
58.5,51
59,51
59.5,51
60,51
60.5,51
61,51
61.5,51
62,51
62.5,51
63,51
63.5,51
64,51
64.5,51
65,51
65.5,51
66,51
66.5,51
67,51
67.5,51
68,52
68.5,52
69,52
69.5,52
70,52
70.5,52
71,52
71.5,52
72,52
72.5,52
73,52
73.5,52
74,52
74.5,52
75,52
75.5,52
76,52
76.5,52
77,52
77.5,52
78,52
78.5,52
79,52
79.5,52
80,52
80.5,52
81,52
81.5,52
82,52
82.5,52
83,52
83.5,53
84,52
84.5,53
85,53
85.5,53
86,53
86.5,53
87,53
87.5,53
88,53
88.5,53
89,53
89.5,53
90,53
90.5,53
91,53
91.5,53
92,53
92.5,53
93,53
93.5,53
94,53
94.5,53
95,53
95.5,53
96,53
96.5,53
97,53
97.5,53
98,53
98.5,53
99,53
99.5,53
100,53
100.5,53
101,53
101.5,53
102,53
102.5,54
103,53
103.5,54
104,54
104.5,53
105,54
105.5,53
106,53
106.5,54
107,54
107.5,54
108,54
108.5,54
109,54
109.5,54
110,54
110.5,54
111,54
111.5,54
112,54
112.5,54
113,54
113.5,54
114,54
114.5,54
115,54
115.5,54
116,54
116.5,54
117,54
117.5,54
118,54
118.5,54
119,54
119.5,54
120,54
120.5,54
121,54
121.5,54
122,54
122.5,55
123,54
123.5,55
124,55
124.5,55
125,55
125.5,55
126,54
126.5,55
127,55
127.5,55
128,54
128.5,55
129,55
129.5,55
130,55
130.5,55
131,55
131.5,55
132,55
132.5,55
133,55
133.5,55
134,55
134.5,55
135,55
135.5,55
136,55
136.5,55
137,55
137.5,55
138,55
138.5,55
139,55
139.5,55
140,55
140.5,55
141,55
141.5,55
142,55
142.5,55
143,55
143.5,55
144,55
144.5,55
145,55
145.5,55
146,56
146.5,55
147,55
147.5,56
148,55
148.5,55
149,56
149.5,55
150,56
150.5,56
151,56
151.5,56
152,56
152.5,56
153,56
153.5,55
154,56
154.5,56
155,56
155.5,56
156,56
156.5,56
157,56
157.5,56
158,56
158.5,56
159,56
159.5,56
160,56
160.5,56
161,56
161.5,56
162,56
162.5,56
163,56
163.5,56
164,56
164.5,56
165,56
165.5,56
166,56
166.5,56
167,56
167.5,56
168,56
168.5,56
169,56
169.5,56
170,56
170.5,56
171,56
171.5,56
172,56
172.5,56
173,56
173.5,56
174,56
174.5,56
175,56
175.5,56
176,56
176.5,56
177,57
177.5,57
178,56
178.5,57
179,57
179.5,56
180,56
180.5,57
181,57
181.5,57
182,57
182.5,57
183,57
183.5,57
184,57
184.5,57
185,57
185.5,57
186,57
186.5,57
187,57
187.5,57
188,57
188.5,57
189,57
189.5,57
190,57
190.5,57
191,57
191.5,57
192,57
192.5,57
193,57
193.5,57
194,57
194.5,57
195,57
195.5,57
196,57
196.5,57
197,57
197.5,57
198,57
198.5,57
199,57
199.5,57
200,57
200.5,57
201,57
201.5,57
202,57
202.5,57
203,57
203.5,57
204,57
204.5,57
205,57
205.5,57
206,57
206.5,57
207,57
207.5,58
208,57
208.5,57
209,58
209.5,57
210,57
210.5,57
211,57
211.5,58
212,57
212.5,57
213,58
213.5,57
214,58
214.5,58
215,58
215.5,58
216,58
216.5,58
217,58
217.5,57
218,58
218.5,58
219,58
219.5,58
220,58
220.5,58
221,58
221.5,58
222,58
222.5,58
223,58
223.5,58
224,58
224.5,58
225,58
225.5,58
226,58
226.5,58
227,58
227.5,58
228,58
228.5,58
229,58
229.5,58
230,58
230.5,58
231,58
231.5,58
232,58
232.5,58
233,58
233.5,58
234,58
234.5,58
235,58
235.5,58
236,58
236.5,58
237,58
237.5,58
238,58
238.5,58
239,58
239.5,58
240,58
240.5,58
241,58
241.5,58
242,58
242.5,58
243,58
243.5,58
244,58
244.5,58
245,58
245.5,58
246,58
246.5,58
247,58
247.5,58
248,58
248.5,58
249,59
249.5,58
250,59
250.5,59
251,58
251.5,59
252,58
252.5,59
253,59
253.5,58
254,59
254.5,59
255,59
255.5,58
256,59
256.5,59
257,59
257.5,58
258,59
258.5,58
259,59
259.5,59
260,58
260.5,59
261,59
261.5,59
262,59
262.5,59
263,59
263.5,59
264,59
264.5,59
265,59
265.5,59
266,59
266.5,59
267,59
267.5,59
268,59
268.5,59
269,59
269.5,59
270,59
270.5,59
271,59
271.5,59
272,59
272.5,59
273,59
273.5,59
274,59
274.5,59
275,59
275.5,59
276,59
276.5,59
277,59
277.5,59
278,59
278.5,59
279,59
279.5,59
280,59
280.5,59
281,59
281.5,59
282,59
282.5,59
283,59
283.5,59
284,59
284.5,59
285,59
285.5,59
286,59
286.5,59
287,59
287.5,59
288,59
288.5,59
289,59
289.5,59
290,59
290.5,59
291,59
291.5,59
292,59
292.5,59
293,59
293.5,59
294,59
294.5,59
295,59
295.5,59
296,59
296.5,59
297,59
297.5,59
298,59
298.5,59
299,59
299.5,59
300,59
